ID,Name,Temperature,Rainfall,Spawn Chance,Root Height,Height Variation,Types,Class
16,Beach,0.8,0.4,0.1,0.0,0.025,BEACH,net.minecraft.world.biome.BiomeGenBeach
17,DesertHills,2.0,0.0,0.1,0.45,0.3,"HOT, DRY, HILLS, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPDesert
18,ForestHills,0.7,0.8,0.1,0.45,0.3,"FOREST, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPForest
19,TaigaHills,0.25,0.8,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
20,Extreme Hills Edge,0.2,0.3,0.1,0.8,0.3,MOUNTAIN,biomesoplenty.common.biome.overridden.BiomeGenBOPExtremeHills
21,Jungle,0.95,0.9,0.1,0.1,0.2,"HOT, DENSE, WET, JUNGLE",biomesoplenty.common.biome.overridden.BiomeGenBOPJungle
22,JungleHills,0.95,0.9,0.1,0.45,0.3,"HOT, DENSE, WET, JUNGLE, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPJungle
23,JungleEdge,0.95,0.8,0.1,0.1,0.2,"HOT, WET, JUNGLE, FOREST",biomesoplenty.common.biome.overridden.BiomeGenBOPJungle
24,Deep Ocean,0.5,0.5,0.1,-1.8,0.1,OCEAN,net.minecraft.world.biome.BiomeGenOcean
25,Stone Beach,0.2,0.3,0.1,0.1,0.8,BEACH,net.minecraft.world.biome.BiomeGenStoneBeach
26,Cold Beach,0.05,0.3,0.1,0.0,0.025,"COLD, SNOWY, BEACH",net.minecraft.world.biome.BiomeGenBeach
27,Birch Forest,0.6,0.6,0.1,0.1,0.2,FOREST,biomesoplenty.common.biome.overridden.BiomeGenBOPBirchForest
28,Birch Forest Hills,0.6,0.6,0.1,0.45,0.3,"FOREST, HILLS",biomesoplenty.common.biome.overridden.BiomeGenBOPBirchForest
29,Roofed Forest,0.7,0.8,0.1,0.1,0.2,"DENSE, SPOOKY, FOREST",biomesoplenty.common.biome.overridden.BiomeGenBOPRoofedForest
30,Cold Taiga,-0.5,0.4,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST, SNOWY",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
31,Cold Taiga Hills,-0.5,0.4,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS, SNOWY",biomesoplenty.common.biome.overridden.BiomeGenBOPTaiga
32,Mega Taiga,0.3,0.8,0.1,0.2,0.2,"COLD, CONIFEROUS, FOREST",net.minecraft.world.biome.BiomeGenTaiga
33,Mega Taiga Hills,0.3,0.8,0.1,0.45,0.3,"COLD, CONIFEROUS, FOREST, HILLS",net.minecraft.world.biome.BiomeGenTaiga
34,Extreme Hills+,0.2,0.3,0.1,1.0,0.5,"SPARSE, FOREST, MOUNTAIN",net.minecraft.world.biome.BiomeGenHills
35,Savanna,1.2,0.0,0.1,0.125,0.05,"HOT, SPARSE, SAVANNA, PLAINS",biomesoplenty.common.biome.overridden.BiomeGenBOPSavanna
36,Savanna Plateau,1.0,0.0,0.1,1.5,0.025,"HOT, SPARSE, SAVANNA, PLAINS",biomesoplenty.common.biome.overridden.BiomeGenBOPSavanna
37,Mesa,2.0,0.0,0.1,0.1,0.2,"MESA, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPMesa
38,Mesa Plateau F,2.0,0.0,0.1,1.5,0.025,"SPARSE, MESA, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPMesa
39,Mesa Plateau,2.0,0.0,0.1,1.5,0.025,"MESA, SANDY",biomesoplenty.common.biome.overridden.BiomeGenBOPMesa
40,Alps,0.0,0.5,0.1,8.0,0.025,"COLD, MOUNTAIN, SNOWY",biomesoplenty.common.biome.overworld.BiomeGenAlps
41,Arctic,0.05,0.5,0.1,0.0,0.0,"COLD, DEAD, SNOWY, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenArctic
42,Bamboo Forest,1.2,0.9,0.1,0.1,0.3,"DENSE, JUNGLE, LUSH, FOREST",biomesoplenty.common.biome.overworld.BiomeGenBambooForest
43,Bayou,0.8,0.9,0.1,-0.1,0.1,"WET, LUSH, OCEAN, RIVER, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenBayou
44,Bog,0.5,0.9,0.1,0.1,0.2,"WET, DEAD, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenBog
45,Boreal Forest,0.5,0.6,0.1,0.2,0.4,"DENSE, CONIFEROUS, LUSH, FOREST",biomesoplenty.common.biome.overworld.BiomeGenBorealForest
46,Brushland,1.2,0.1,0.1,0.1,0.2,"HOT, DRY, SAVANNA, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenBrushland
47,Canyon,1.0,0.3,0.1,5.0,0.025,"HOT, SPARSE, DRY, MOUNTAIN, HILLS, SANDY",biomesoplenty.common.biome.overworld.BiomeGenCanyon
48,Chaparral,0.8,0.6,0.1,0.2,0.3,"SPARSE, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenChaparral
49,Cherry Blossom Grove,0.6,0.8,0.1,0.1,0.2,"LUSH, MAGICAL, FOREST",biomesoplenty.common.biome.overworld.BiomeGenCherryBlossomGrove
50,Coniferous Forest,0.5,0.5,0.1,0.1,0.3,"DENSE, CONIFEROUS, FOREST, HILLS",biomesoplenty.common.biome.overworld.BiomeGenConiferousForest
51,Snowy Coniferous Forest,0.0,0.5,0.1,0.1,0.3,"COLD, DENSE, CONIFEROUS, FOREST, HILLS, SNOWY",biomesoplenty.common.biome.overworld.BiomeGenConiferousForestSnow
52,Crag,1.0,0.0,0.1,2.0,3.0,"DRY, SPOOKY, DEAD, MOUNTAIN, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenCrag
53,Dead Forest,0.4,0.3,0.1,0.1,0.3,"SPARSE, SPOOKY, DEAD, FOREST",biomesoplenty.common.biome.overworld.BiomeGenDeadForest
54,Dead Swamp,0.7,0.9,0.1,0.0,0.1,"SPARSE, SPOOKY, DEAD, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenDeadSwamp
55,Deciduous Forest,0.6,0.8,0.1,0.1,0.2,"DENSE, DRY, FOREST",biomesoplenty.common.biome.overworld.BiomeGenDeciduousForest
56,Fen,0.4,0.4,0.1,0.1,0.1,"WET, DEAD, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenFen
57,Flower Field,0.6,0.7,0.1,0.125,0.05,"DENSE, LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenFlowerField
58,Frost Forest,0.0,0.5,0.1,0.1,0.2,"HOT, COLD, SPARSE, DRY, JUNGLE, LUSH, FOREST, SNOWY",biomesoplenty.common.biome.overworld.BiomeGenFrostForest
59,Fungi Forest,0.9,1.0,0.1,0.1,0.2,"WET, LUSH, MUSHROOM, MAGICAL, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenFungiForest
60,Garden,0.7,0.8,0.1,0.1,0.1,"LUSH, MAGICAL, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenGarden
61,Grassland,0.6,0.7,0.1,0.1,0.2,"SPARSE, LUSH, PLAINS, HILLS, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenGrassland
62,Grove,0.7,0.8,0.1,0.1,0.2,"DENSE, LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenGrove
63,Heathland,0.8,0.2,0.1,0.1,0.2,"DRY, SAVANNA, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenHeathland
64,Highland,0.5,0.8,0.1,2.5,0.5,"SPARSE, MOUNTAIN, HILLS",biomesoplenty.common.biome.overworld.BiomeGenHighland
65,Jade Cliffs,0.8,0.9,0.1,0.5,1.0,"DENSE, FOREST, MOUNTAIN",biomesoplenty.common.biome.overworld.BiomeGenJadeCliffs
66,Lavender Fields,0.6,0.7,0.1,0.125,0.05,"SPARSE, LUSH, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenLavenderFields
67,Lush Desert,1.1,0.5,0.1,0.2,0.5,"HOT, DRY, SAVANNA, LUSH, SANDY",biomesoplenty.common.biome.overworld.BiomeGenLushDesert
68,Lush Swamp,0.7,1.0,0.1,0.0,0.1,"WET, LUSH, OCEAN, RIVER, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenLushSwamp
69,Maple Woods,0.2,0.8,0.1,0.1,0.3,"COLD, DENSE, WET, OCEAN, RIVER, FOREST, HILLS",biomesoplenty.common.biome.overworld.BiomeGenMapleWoods
70,Marsh,0.5,0.9,0.1,0.1,0.05,"SPARSE, WET, LUSH, OCEAN, RIVER, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenMarsh
71,Meadow,0.7,0.7,0.1,0.1,0.2,"LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenMeadow
72,Moor,0.5,1.0,0.1,1.5,0.025,"SPARSE, WET, HILLS, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenMoor
73,Mountain,0.5,0.1,0.1,2.5,0.5,"DRY, FOREST, MOUNTAIN",biomesoplenty.common.biome.overworld.BiomeGenMountain
74,Mining Biome,0.8,0.0,0.1,0.0,0.0,"WET, LUSH, MAGICAL, FOREST, MOUNTAIN",aroma1997.world.dimension.BiomeGenMining
75,Ominous Woods,0.5,0.9,0.1,0.1,0.2,"SPOOKY, DEAD, MAGICAL, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenOminousWoods
76,Origin Valley,0.7,0.8,0.1,0.1,0.3,PLAINS,biomesoplenty.common.biome.overworld.BiomeGenOriginValley
77,Outback,1.3,0.05,0.1,0.1,0.1,"HOT, DRY, SAVANNA, PLAINS, SANDY",biomesoplenty.common.biome.overworld.BiomeGenOutback
78,Prairie,0.8,0.3,0.1,0.1,0.1,"SPARSE, DRY, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenPrairie
79,Rainforest,1.0,1.0,0.1,0.2,0.9,"DENSE, WET, JUNGLE, LUSH, FOREST, HILLS",biomesoplenty.common.biome.overworld.BiomeGenRainforest
80,Redwood Forest,0.7,0.7,0.1,0.1,0.05,"DENSE, CONIFEROUS, FOREST",biomesoplenty.common.biome.overworld.BiomeGenRedwoodForest
81,Sacred Springs,0.5,0.5,0.1,0.0,0.6,"DENSE, WET, LUSH, MAGICAL, FOREST, MOUNTAIN",biomesoplenty.common.biome.overworld.BiomeGenSacredSprings
82,Seasonal Forest,0.5,0.8,0.1,0.2,0.4,"SPARSE, DENSE, LUSH, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenSeasonalForest
83,Shield,0.5,0.8,0.1,0.0,0.2,"WET, CONIFEROUS, OCEAN, RIVER, FOREST",biomesoplenty.common.biome.overworld.BiomeGenShield
84,Shrubland,0.6,0.05,0.1,0.1,0.1,"SPARSE, DRY, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenShrubland
85,Sludgepit,0.8,0.9,0.1,0.0,0.1,"WET, SPOOKY, DEAD, FOREST, SWAMP, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenSludgepit
86,Steppe,0.7,0.05,0.1,0.1,0.4,"HOT, SPARSE, DRY, SAVANNA, DEAD, PLAINS, SANDY",biomesoplenty.common.biome.overworld.BiomeGenSteppe
87,Temperate Rainforest,0.8,1.2,0.1,0.0,0.3,"WET, CONIFEROUS, LUSH, FOREST, HILLS",biomesoplenty.common.biome.overworld.BiomeGenTemperateRainforest
88,Thicket,0.6,0.2,0.1,0.1,0.1,"DENSE, DRY, DEAD, FOREST, PLAINS",biomesoplenty.common.biome.overworld.BiomeGenThicket
89,Tropical Rainforest,1.2,1.0,0.1,0.2,0.3,"HOT, DENSE, WET, JUNGLE, LUSH",biomesoplenty.common.biome.overworld.BiomeGenTropicalRainforest
90,Tundra,0.2,0.5,0.1,0.0,0.1,"COLD, SPARSE, DRY, DEAD, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenTundra
91,Wasteland,1.0,0.05,0.1,0.1,0.1,"SPARSE, SPOOKY, DEAD, WASTELAND",biomesoplenty.common.biome.overworld.BiomeGenWasteland
92,Wetland,0.6,0.9,0.1,-0.1,0.2,"DENSE, WET, LUSH, FOREST, SWAMP",biomesoplenty.common.biome.overworld.BiomeGenWetland
93,Woodland,0.6,0.4,0.1,0.1,0.2,"DENSE, DRY, FOREST",biomesoplenty.common.biome.overworld.BiomeGenWoodland
94,Coral Reef,0.5,0.9,0.1,-0.6,0.1,"OCEAN, RIVER",biomesoplenty.common.biome.overworld.ocean.BiomeGenCoralReef
95,Kelp Forest,0.5,0.9,0.1,-1.2,0.1,"OCEAN, RIVER, FOREST",biomesoplenty.common.biome.overworld.ocean.BiomeGenKelpForest
96,Tropics,1.2,1.0,0.1,0.2,0.3,"WET, JUNGLE, LUSH, OCEAN, RIVER, BEACH",biomesoplenty.common.biome.overworld.sub.BiomeGenTropics
97,Volcano,2.0,0.05,0.1,2.5,0.5,"HOT, DRY, MOUNTAIN, WASTELAND",biomesoplenty.common.biome.overworld.sub.BiomeGenVolcano
98,Mangrove,0.8,0.9,0.1,0.0,0.2,"WET, LUSH, OCEAN, RIVER, FOREST",biomesoplenty.common.biome.overworld.sub.BiomeGenMangrove
99,Alps Forest,0.0,0.5,0.1,0.6,0.8,"HOT, COLD, DRY, LUSH, FOREST, MOUNTAIN, SANDY, SNOWY",biomesoplenty.common.biome.overworld.sub.BiomeGenAlpsForest
100,Undergound Jungle,1.35,0.9,0.2,0.1,0.2,"HOT, DRY, HILLS, SANDY",erebus.world.biomes.BiomeUndergroundJungle
101,Volcanic Desert,1.9,0.2,0.1,0.1,0.2,"COLD, DEAD, HILLS, SNOWY",erebus.world.biomes.BiomeVolcanicDesert
102,Subterranean Savannah,0.95,0.05,0.1,0.1,0.2,"LUSH, FOREST, PLAINS",erebus.world.biomes.BiomeSubterraneanSavannah
103,Elysian Fields,0.85,0.5,0.1,0.1,0.2,"HOT, DRY, JUNGLE, LUSH, SANDY",erebus.world.biomes.BiomeElysianFields
104,Ulterior Outback,1.1,0.2,0.1,0.1,0.2,"SPARSE, LUSH, FOREST, PLAINS",erebus.world.biomes.BiomeUlteriorOutback
105,Fungal Forest,0.9,0.95,0.1,0.1,0.2,"WET, SPOOKY, DEAD, SWAMP, WASTELAND",erebus.world.biomes.BiomeFungalForest
106,Submerged Swamp,0.75,0.85,0.1,0.1,0.2,"HOT, SPARSE, DRY, SAVANNA, PLAINS",erebus.world.biomes.BiomeSubmergedSwamp
107,Silkglades,0.5,0.9,0.1,0.1,0.2,"SPOOKY, DEAD, FOREST, SWAMP",biomesoplenty.common.biome.overworld.sub.BiomeGenSilkglades
108,Spruce Woods,0.7,0.8,0.1,0.1,0.2,"DENSE, CONIFEROUS, LUSH, FOREST",biomesoplenty.common.biome.overworld.sub.BiomeGenSpruceWoods
109,Corrupted Sands,2.0,0.0,0.1,0.1,0.2,"SPARSE, WET, SPOOKY, NETHER, OCEAN, RIVER, SWAMP, SANDY",biomesoplenty.common.biome.nether.BiomeGenCorruptedSands
110,Phantasmagoric Inferno,2.0,0.0,0.1,0.1,0.2,"SPOOKY, NETHER",biomesoplenty.common.biome.nether.BiomeGenPhantasmagoricInferno
111,Boneyard,2.0,0.0,0.1,0.1,0.2,"SPOOKY, NETHER, WASTELAND",biomesoplenty.common.biome.nether.BiomeGenBoneyard
112,Visceral Heap,2.0,0.0,0.1,0.1,0.2,"SPOOKY, NETHER",biomesoplenty.common.biome.nether.BiomeGenVisceralHeap
113,Undergarden,2.0,0.0,0.1,0.1,0.2,"JUNGLE, SPOOKY, NETHER",biomesoplenty.common.biome.nether.BiomeGenUndergarden
114,Polar Chasm,2.0,0.0,0.1,0.1,0.2,"COLD, NETHER, SNOWY",biomesoplenty.common.biome.nether.BiomeGenPolarChasm
115,Spectral Garden,2.0,0.0,0.1,0.1,0.2,"SPOOKY, LUSH, END, FOREST",biomesoplenty.common.biome.end.BiomeGenSpectralGarden
116,Lush River,0.7,0.8,0.1,-0.5,0.0,"RIVER, PLAINS",biomesoplenty.common.biome.overworld.tech.BiomeGenLushRiver
117,Dry River,1.0,0.0,0.1,-0.2,0.0,"HOT, DRY, PLAINS, SANDY",biomesoplenty.common.biome.overworld.tech.BiomeGenDryRiver
126,Ocean Oil Field,0.5,0.5,0.1,-1.0,0.1,"OCEAN, RIVER",buildcraft.energy.worldgen.BiomeGenOilOcean
127,Elysian Forest,0.85,0.5,0.1,0.1,0.2,SANDY,erebus.world.biomes.BiomeElysianFields.BiomeElysianForest
129,Sunflower Plains,0.8,0.4,0.1,0.125,0.05,PLAINS,net.minecraft.world.biome.BiomeGenPlains
130,Desert M,2.0,0.0,0.1,0.225,0.25,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMutated
131,Extreme Hills M,0.2,0.3,0.1,1.0,0.5,HILLS,net.minecraft.world.biome.BiomeGenHills
132,Flower Forest,0.7,0.8,0.1,0.1,0.4,"FOREST, HILLS",net.minecraft.world.biome.BiomeGenForest
133,Taiga M,0.25,0.8,0.1,0.3,0.4,HILLS,net.minecraft.world.biome.BiomeGenMutated
134,Swampland M,0.8,0.9,0.1,-0.1,0.3,"WET, SWAMP",net.minecraft.world.biome.BiomeGenMutated
140,Ice Plains Spikes,0.0,0.5,0.1,0.425,0.45000002,"COLD, HILLS, SNOWY",net.minecraft.world.biome.BiomeGenSnow
149,Jungle M,0.95,0.9,0.1,0.2,0.4,"HOT, WET, HILLS",net.minecraft.world.biome.BiomeGenMutated
151,JungleEdge M,0.95,0.8,0.1,0.2,0.4,"HOT, HILLS",net.minecraft.world.biome.BiomeGenMutated
155,Birch Forest M,0.6,0.6,0.1,0.2,0.4,HILLS,null
156,Birch Forest Hills M,0.6,0.6,0.1,0.55,0.5,HILLS,null
157,Roofed Forest M,0.7,0.8,0.1,0.2,0.4,HILLS,null
158,Cold Taiga M,-0.5,0.4,0.1,0.3,0.4,"COLD, HILLS, SNOWY",net.minecraft.world.biome.BiomeGenMutated
160,Mega Spruce Taiga,0.25,0.8,0.1,0.2,0.2,"DENSE, FOREST",net.minecraft.world.biome.BiomeGenTaiga
161,Mega Spruce Taiga,0.25,0.8,0.1,0.2,0.2,"DENSE, FOREST",net.minecraft.world.biome.BiomeGenTaiga
162,Extreme Hills+ M,0.2,0.3,0.1,1.0,0.5,HILLS,net.minecraft.world.biome.BiomeGenHills
163,Savanna M,1.1,0.0,0.1,0.3625,1.225,"HOT, SPARSE, DRY, SAVANNA, HILLS",net.minecraft.world.biome.BiomeGenSavanna$Mutated
164,Savanna Plateau M,1.0,0.0,0.1,1.05,1.2125001,"HOT, SPARSE, DRY, SAVANNA, HILLS",net.minecraft.world.biome.BiomeGenSavanna$Mutated
165,Mesa (Bryce),2.0,0.0,0.1,0.1,0.2,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMesa
166,Mesa Plateau F M,2.0,0.0,0.1,0.45,0.3,"HOT, DRY, FOREST, SANDY",net.minecraft.world.biome.BiomeGenMesa
167,Mesa Plateau M,2.0,0.0,0.1,0.45,0.3,"HOT, DRY, PLAINS, SANDY",net.minecraft.world.biome.BiomeGenMesa
170,BambooForest,0.7,0.8,0.1,0.1,0.2,FOREST,growthcraft.bamboo.BiomeGenBamboo
185,fwg_default1,0.5,0.5,0.1,0.1,0.2,"HOT, COLD, DENSE, OCEAN, RIVER, FOREST, PLAINS, HILLS",fwg.biomes.BiomeDefault
186,fwg_default2,0.5,0.5,0.1,0.1,0.2,"HOT, COLD, DENSE, OCEAN, RIVER, FOREST, PLAINS, HILLS",fwg.biomes.BiomeDefault
187,fwg_default_snow,0.0,0.5,0.1,0.1,0.2,"COLD, DENSE, OCEAN, RIVER, FOREST, PLAINS, HILLS, SNOWY",fwg.biomes.BiomeDefaultSnow
192,Tainted Land,0.5,0.5,0.1,0.1,0.2,"MAGICAL, WASTELAND",thaumcraft.common.lib.world.biomes.BiomeGenTaint
193,Magical Forest,0.7,0.6,0.1,0.2,0.2,"MAGICAL, FOREST",thaumcraft.common.lib.world.biomes.BiomeGenMagicalForest
194,Eerie,0.5,0.5,0.1,0.1,0.2,"SPOOKY, MAGICAL",thaumcraft.common.lib.world.biomes.BiomeGenEerie
195,Eldritch,0.5,0.5,0.1,0.1,0.2,"SPOOKY, END, MAGICAL",thaumcraft.common.lib.world.biomes.BiomeGenEldritch
200,rwg_riverIce,0.0,0.1,0.1,0.1,0.2,"HOT, COLD, SPARSE, DRY, RIVER, SANDY, SNOWY",rwg.biomes.base.BaseBiomeRiver
201,rwg_riverCold,0.5,0.4,0.1,0.1,0.2,"COLD, DENSE, CONIFEROUS, RIVER, FOREST",rwg.biomes.base.BaseBiomeRiver
202,rwg_riverTemperate,0.8,0.6,0.1,0.1,0.2,"COLD, SPARSE, RIVER, FOREST, PLAINS, MOUNTAIN",rwg.biomes.base.BaseBiomeRiver
203,rwg_riverHot,0.8,0.2,0.1,0.1,0.2,"HOT, DENSE, WET, DRY, JUNGLE, RIVER, FOREST, SWAMP, SANDY",rwg.biomes.base.BaseBiomeRiver
204,rwg_riverWet,0.9,0.9,0.1,0.1,0.2,"HOT, SPARSE, WET, SAVANNA, JUNGLE, RIVER",rwg.biomes.base.BaseBiomeRiver
205,rwg_riverOasis,0.9,0.9,0.1,0.1,0.2,"HOT, DENSE, WET, JUNGLE, RIVER, FOREST",rwg.biomes.base.BaseBiomeRiver
206,rwg_oceanIce,0.0,0.1,0.1,0.1,0.2,"HOT, COLD, SPARSE, DRY, OCEAN, PLAINS, SNOWY, BEACH",rwg.biomes.base.BaseBiomeOcean
207,rwg_oceanCold,0.5,0.4,0.1,0.1,0.2,"COLD, DENSE, WET, CONIFEROUS, OCEAN, FOREST, SWAMP, BEACH",rwg.biomes.base.BaseBiomeOcean
208,rwg_oceanTemperate,0.8,0.6,0.1,0.1,0.2,"COLD, DENSE, CONIFEROUS, OCEAN, FOREST, SNOWY, BEACH",rwg.biomes.base.BaseBiomeOcean
209,rwg_oceanHot,0.8,0.2,0.1,0.1,0.2,"HOT, COLD, SPARSE, DRY, OCEAN, PLAINS, MOUNTAIN, SANDY, SNOWY, BEACH",rwg.biomes.base.BaseBiomeOcean
210,rwg_oceanWet,0.9,0.9,0.1,0.1,0.2,"HOT, WET, JUNGLE, OCEAN, PLAINS, BEACH",rwg.biomes.base.BaseBiomeOcean
211,rwg_oceanOasis,0.9,0.9,0.1,0.1,0.2,"HOT, COLD, WET, JUNGLE, OCEAN, SNOWY, BEACH",rwg.biomes.base.BaseBiomeOcean
212,rwg_snowDesert,0.0,0.1,0.1,0.1,0.2,"COLD, SNOWY, WASTELAND",rwg.biomes.base.BaseBiomeSnowDesert
213,rwg_snowForest,0.0,0.1,0.1,0.1,0.2,"COLD, CONIFEROUS, FOREST, SNOWY",rwg.biomes.base.BaseBiomeSnowForest
214,rwg_coldPlains,0.2,0.2,0.1,0.1,0.2,"COLD, WASTELAND",rwg.biomes.base.BaseBiomeColdPlains
215,rwg_coldForest,0.5,0.4,0.1,0.1,0.2,"COLD, DENSE, CONIFEROUS, FOREST, HILLS",rwg.biomes.base.BaseBiomeColdForest
216,rwg_hotPlains,0.9,0.1,0.1,0.1,0.2,"HOT, SPARSE, SAVANNA, PLAINS",rwg.biomes.base.BaseBiomeHotPlains
217,rwg_hotForest,0.8,0.2,0.1,0.1,0.2,"HOT, SPARSE, SAVANNA, PLAINS",rwg.biomes.base.BaseBiomeHotForest
218,rwg_hotDesert,1.0,0.0,0.1,0.1,0.2,"HOT, DRY, SANDY",rwg.biomes.base.BaseBiomeHotDesert
219,rwg_plains,0.6,0.4,0.1,0.1,0.2,PLAINS,rwg.biomes.base.BaseBiomePlains
220,rwg_tropical,0.8,0.8,0.1,0.1,0.2,"HOT, WET, JUNGLE",rwg.biomes.base.BaseBiomeTropicalIsland
221,rwg_redwood,0.7,0.6,0.1,0.1,0.2,"COLD, CONIFEROUS, FOREST",rwg.biomes.base.BaseBiomeRedwood
222,rwg_jungle,0.9,0.9,0.1,0.1,0.2,"HOT, WET, JUNGLE",rwg.biomes.base.BaseBiomeJungle
223,rwg_oasis,0.9,0.9,0.1,0.1,0.2,"HOT, WET, PLAINS",rwg.biomes.base.BaseBiomeRiver
224,rwg_temperateForest,0.8,0.6,0.1,0.1,0.2,PLAINS,rwg.biomes.base.BaseBiomeTemperateForest
228,Undergound Jungle M,1.35,0.9,0.2,0.2,0.4,"HOT, WET, HILLS",net.minecraft.world.biome.BiomeGenMutated
229,Volcanic Desert M,1.9,0.2,0.1,0.2,0.4,"HOT, HILLS, SANDY",net.minecraft.world.biome.BiomeGenMutated
230,Subterranean Savannah M,0.95,0.05,0.1,0.2,0.4,"HOT, DRY, HILLS",net.minecraft.world.biome.BiomeGenMutated
231,Elysian Fields M,0.85,0.5,0.1,0.2,0.4,HILLS,net.minecraft.world.biome.BiomeGenMutated
232,Ulterior Outback M,1.1,0.2,0.1,0.2,0.4,"HOT, HILLS, SANDY",net.minecraft.world.biome.BiomeGenMutated
233,Fungal Forest M,0.9,0.95,0.1,0.2,0.4,"HOT, WET, HILLS",net.minecraft.world.biome.BiomeGenMutated
234,Submerged Swamp M,0.75,0.85,0.1,0.2,0.4,HILLS,net.minecraft.world.biome.BiomeGenMutated
255,Elysian Forest M,0.85,0.5,0.1,0.2,0.4,HILLS,net.minecraft.world.biome.BiomeGenMutated
