ID,Name,Localized Name,Temperature,Luminosity,Density,Viscosity,Placeable,Block ID,Block Class
63,binnie.juicebanana,Banana Juice,300,0,1000,1000,false,null,null
64,binnie.juicecherry,Cherry Juice,300,0,1000,1000,false,null,null
65,binnie.juiceelderberry,Elderberry Juice,300,0,1000,1000,false,null,null
66,binnie.juicelemon,Lemon Juice,300,0,1000,1000,false,null,null
67,binnie.juicelime,Lime Juice,300,0,1000,1000,false,null,null
68,binnie.juiceorange,Orange Juice,300,0,1000,1000,false,null,null
69,binnie.juicepeach,Peach Juice,300,0,1000,1000,false,null,null
70,binnie.juiceplum,Plum Juice,300,0,1000,1000,false,null,null
71,binnie.juicecarrot,Carrot Juice,300,0,1000,1000,false,null,null
72,binnie.juicetomato,Tomato Juice,300,0,1000,1000,false,null,null
73,binnie.juicecranberry,Cranberry Juice,300,0,1000,1000,false,null,null
74,binnie.juicegrapefruit,Grapefruit Juice,300,0,1000,1000,false,null,null
75,binnie.juiceolive,Olive Oil,300,0,1000,1000,false,null,null
76,binnie.juicepineapple,Pineapple Juice,300,0,1000,1000,false,null,null
77,binnie.juicepear,Pear Juice,300,0,1000,1000,false,null,null
78,binnie.juicewhitegrape,White Grape Juice,300,0,1000,1000,false,null,null
79,binnie.juiceredgrape,Red Grape Juice,300,0,1000,1000,false,null,null
80,binnie.ciderapple,Cider,300,0,1000,1000,false,null,null
81,binnie.wineapricot,Apricot Wine,300,0,1000,1000,false,null,null
82,binnie.winebanana,Banana Wine,300,0,1000,1000,false,null,null
83,binnie.winecherry,Cherry Wine,300,0,1000,1000,false,null,null
84,binnie.wineelderberry,Elderberry Wine,300,0,1000,1000,false,null,null
85,binnie.ciderpeach,Peach Cider,300,0,1000,1000,false,null,null
86,binnie.ciderpear,Pear Cider,300,0,1000,1000,false,null,null
87,binnie.wineplum,Plum Wine,300,0,1000,1000,false,null,null
88,binnie.winecarrot,Carrot Wine,300,0,1000,1000,false,null,null
89,binnie.winewhite,White Wine,300,0,1000,1000,false,null,null
90,binnie.winered,Red Wine,300,0,1000,1000,false,null,null
91,binnie.winesparkling,Sparkling Wine,300,0,1000,1000,false,null,null
92,binnie.wineagave,Agave Wine,300,0,1000,1000,false,null,null
93,binnie.fermentedpotatoes,Fermented Potatoes,300,0,1000,1000,false,null,null
94,binnie.winecitrus,Citrus Wine,300,0,1000,1000,false,null,null
95,binnie.winecranberry,Cranberry Wine,300,0,1000,1000,false,null,null
96,binnie.winepineapple,Pineapple Wine,300,0,1000,1000,false,null,null
97,binnie.winetomato,Tomato Wine,300,0,1000,1000,false,null,null
98,binnie.juice,Fruit Wine,300,0,1000,1000,false,null,null
99,binnie.beerale,Ale,300,0,1000,1000,false,null,null
100,binnie.beerlager,Lager,300,0,1000,1000,false,null,null
101,binnie.beerwheat,Wheat Beer,300,0,1000,1000,false,null,null
102,binnie.beerrye,Rye Beer,300,0,1000,1000,false,null,null
103,binnie.beercorn,Corn Beer,300,0,1000,1000,false,null,null
104,binnie.beerstout,Stout,300,0,1000,1000,false,null,null
105,binnie.mashgrain,Fermented Grain Mash,300,0,1000,1000,false,null,null
106,binnie.mashwheat,Fermented Wheat Mash,300,0,1000,1000,false,null,null
107,binnie.mashrye,Fermented Rye Mash,300,0,1000,1000,false,null,null
108,binnie.mashcorn,Fermented Corn Mash,300,0,1000,1000,false,null,null
109,binnie.spiritneutral,Neutral Spirit,300,0,1000,1000,false,null,null
110,binnie.vodka,Vodka,300,0,1000,1000,false,null,null
111,binnie.rumwhite,White Rum,300,0,1000,1000,false,null,null
112,binnie.rumdark,Dark Rum,300,0,1000,1000,false,null,null
113,binnie.whiskey,Whiskey,300,0,1000,1000,false,null,null
114,binnie.whiskeycorn,Bourbon,300,0,1000,1000,false,null,null
115,binnie.whiskeyrye,Rye Whiskey,300,0,1000,1000,false,null,null
116,binnie.whiskeywheat,Wheat Whiskey,300,0,1000,1000,false,null,null
117,binnie.winefortified,Fortified Wine,300,0,1000,1000,false,null,null
118,binnie.tequila,Tequila,300,0,1000,1000,false,null,null
119,binnie.brandygrape,Brandy,300,0,1000,1000,false,null,null
120,binnie.brandyapple,Apple Brandy,300,0,1000,1000,false,null,null
121,binnie.brandypear,Pear Brandy,300,0,1000,1000,false,null,null
122,binnie.brandyapricot,Apricot Brandy,300,0,1000,1000,false,null,null
123,binnie.brandyplum,Plum Brandy,300,0,1000,1000,false,null,null
124,binnie.brandycherry,Cherry Brandy,300,0,1000,1000,false,null,null
125,binnie.brandyelderberry,Elderberry Brandy,300,0,1000,1000,false,null,null
126,binnie.brandycitrus,Citrus Brandy,300,0,1000,1000,false,null,null
127,binnie.brandyfruit,Fruit Brandy,300,0,1000,1000,false,null,null
128,binnie.spiritsugarcane,Cachaca,300,0,1000,1000,false,null,null
129,binnie.spiritgin,Gin,300,0,1000,1000,false,null,null
130,binnie.liquorapple,Apple Liquor,300,0,1000,1000,false,null,null
131,binnie.liquorpear,Pear Liquor,300,0,1000,1000,false,null,null
132,binnie.liquorcherry,Cherry Liquor,300,0,1000,1000,false,null,null
133,binnie.liquorelderberry,Elderberry Liquor,300,0,1000,1000,false,null,null
134,binnie.liquorapricot,Apricot Liquor,300,0,1000,1000,false,null,null
135,binnie.liquorfruit,Fruit Liquor,300,0,1000,1000,false,null,null
136,binnie.liqueuralmond,Almond Liqueur,300,0,1000,1000,false,null,null
137,binnie.liqueurorange,Orange Liqueur,300,0,1000,1000,false,null,null
138,binnie.liqueurbanana,Banana Liqueur,300,0,1000,1000,false,null,null
139,binnie.liqueurchocolate,Chocolate Liqueur,300,0,1000,1000,false,null,null
140,binnie.liqueurmint,Mint Liqueur,300,0,1000,1000,false,null,null
141,binnie.liqueurhazelnut,Hazelnut Liqueur,300,0,1000,1000,false,null,null
142,binnie.liqueurcinnamon,Cinnamon Liqueur,300,0,1000,1000,false,null,null
143,binnie.liqueurcoffee,Coffee Liqueur,300,0,1000,1000,false,null,null
144,binnie.liqueurmelon,Melon Liqueur,300,0,1000,1000,false,null,null
145,binnie.liqueuranise,Anise Liqueur,300,0,1000,1000,false,null,null
146,binnie.liqueurpeach,Peach Liqueur,300,0,1000,1000,false,null,null
147,binnie.liqueurlemon,Lemon Liqueur,300,0,1000,1000,false,null,null
148,binnie.liqueurherbal,Herbal Liqueur,300,0,1000,1000,false,null,null
149,binnie.liqueurcherry,Cherry Liqueur,300,0,1000,1000,false,null,null
150,binnie.liqueurblackcurrant,Blackcurrant Liqueur,300,0,1000,1000,false,null,null
151,binnie.liqueurblackberry,Blackberry Liqueur,300,0,1000,1000,false,null,null
152,binnie.liqueurraspberry,Raspberry Liqueur,300,0,1000,1000,false,null,null
153,binnie.growthmedium,Growth Medium,300,0,1000,1000,false,null,null
154,binnie.bacteria,Bacteria,300,0,1000,1000,false,null,null
155,binnie.bacteriapoly,Polymerising Bacteria,300,0,1000,1000,false,null,null
156,binnie.dna.raw,Raw DNA,300,0,1000,1000,false,null,null
157,binnie.bacteriavector,Bacteria Vector,300,0,1000,1000,false,null,null
158,life essence,Life Essence,300,0,2000,2000,true,AWWayofTime:lifeEssence,WayofTime.alchemicalWizardry.common.block.LifeEssenceBlock
159,hydrogen,Liquid Hydrogen,300,0,1000,1000,false,null,null
160,oxygen,Liquid Oxygen,300,0,1000,1000,false,null,null
161,chlorine,Liquid Chlorine,300,0,1000,1000,false,null,null
162,sulfurdioxidegas,Liquid Sulfur Dioxide,300,0,1000,1000,false,null,null
163,sulfurtrioxidegas,Liquid Sulfur Trioxide,300,0,1000,1000,false,null,null
164,sulfuricacid,Liquid Sulfuric Acid,300,0,1000,1000,false,null,null
165,hydrogenchloride,Liquid Hydrogen Chloride,300,0,1000,1000,false,null,null
166,ethene,Liquid Ethylene,300,0,1000,1000,false,null,null
167,sodium,Liquid Sodium,300,0,1000,1000,false,null,null
168,brine,Brine,300,0,1000,1000,false,null,null
169,deuterium,Liquid Deuterium,300,0,1000,1000,false,null,null
170,tritium,Liquid Tritium,300,0,1000,1000,false,null,null
171,fusionfueldt,Liquid D-T Fuel,300,0,1000,1000,false,null,null
172,lithium,Liquid Lithium,300,0,1000,1000,false,null,null
173,heavywater,Heavy Water,300,0,1000,1000,false,null,null
174,nutrient_distillation,Nutrient Distillation,300,0,1500,3000,true,EnderIO:blockNutrient_distillation,crazypants.enderio.fluid.BlockFluidEio
175,hootch,Hootch,300,0,900,1000,true,EnderIO:blockHootch,crazypants.enderio.fluid.BlockFluidEio
176,rocket_fuel,Rocket Fuel,300,0,900,1000,true,EnderIO:blockRocket_fuel,crazypants.enderio.fluid.BlockFluidEio
177,fire_water,Fire Water,300,0,900,1000,true,EnderIO:blockFire_water,crazypants.enderio.fluid.BlockFluidEio
178,witchwater,Witch Water,300,0,1000,1000,true,exnihilo:witchwater,exnihilo.fluids.BlockWitchWater
179,slime.blue,Liquid Blueslime,300,0,1000,1000,true,TConstruct:liquid.slime,tconstruct.blocks.slime.SlimeFluid
180,iron.molten,Molten Iron,1300,12,3000,6000,true,TConstruct:fluid.molten.iron,tconstruct.smeltery.blocks.TConstructFluid
181,gold.molten,Molten Gold,1300,12,3000,6000,true,TConstruct:fluid.molten.gold,tconstruct.smeltery.blocks.TConstructFluid
182,copper.molten,Molten Copper,1300,12,3000,6000,true,TConstruct:fluid.molten.copper,tconstruct.smeltery.blocks.TConstructFluid
183,tin.molten,Molten Tin,1300,12,3000,6000,true,TConstruct:fluid.molten.tin,tconstruct.smeltery.blocks.TConstructFluid
184,aluminum.molten,Molten Aluminum,1300,12,3000,6000,true,TConstruct:fluid.molten.aluminum,tconstruct.smeltery.blocks.TConstructFluid
185,cobalt.molten,Molten Cobalt,1300,12,3000,6000,true,TConstruct:fluid.molten.cobalt,tconstruct.smeltery.blocks.TConstructFluid
186,ardite.molten,Molten Ardite,1300,12,3000,6000,true,TConstruct:fluid.molten.ardite,tconstruct.smeltery.blocks.TConstructFluid
187,bronze.molten,Molten Bronze,1300,12,3000,6000,true,TConstruct:fluid.molten.bronze,tconstruct.smeltery.blocks.TConstructFluid
188,aluminumbrass.molten,Molten Aluminum Brass,1300,12,3000,6000,true,TConstruct:fluid.molten.alubrass,tconstruct.smeltery.blocks.TConstructFluid
189,manyullyn.molten,Molten Manyullyn,1300,12,3000,6000,true,TConstruct:fluid.molten.manyullyn,tconstruct.smeltery.blocks.TConstructFluid
190,alumite.molten,Molten Alumite,1300,12,3000,6000,true,TConstruct:fluid.molten.alumite,tconstruct.smeltery.blocks.TConstructFluid
191,obsidian.molten,Molten Obsidian,1300,12,3000,6000,true,TConstruct:fluid.molten.obsidian,tconstruct.smeltery.blocks.TConstructFluid
192,steel.molten,Molten Steel,1300,12,3000,6000,true,TConstruct:fluid.molten.steel,tconstruct.smeltery.blocks.TConstructFluid
193,glass.molten,Molten Glass,1300,12,3000,6000,true,TConstruct:fluid.molten.glass,tconstruct.smeltery.blocks.TConstructFluid
194,stone.seared,Seared Stone,1300,12,3000,6000,true,TConstruct:molten.stone,tconstruct.smeltery.blocks.TConstructFluid
195,emerald.liquid,Liquified Emerald,1300,12,3000,6000,true,TConstruct:molten.emerald,tconstruct.smeltery.blocks.TConstructFluid
196,nickel.molten,Molten Nickel,1300,12,3000,6000,true,TConstruct:fluid.molten.nickel,tconstruct.smeltery.blocks.TConstructFluid
197,lead.molten,Molten Lead,1300,12,3000,6000,true,TConstruct:fluid.molten.lead,tconstruct.smeltery.blocks.TConstructFluid
198,silver.molten,Molten Silver,1300,12,3000,6000,true,TConstruct:fluid.molten.silver,tconstruct.smeltery.blocks.TConstructFluid
199,platinum.molten,Molten Platinum,1300,12,3000,6000,true,TConstruct:fluid.molten.shiny,tconstruct.smeltery.blocks.TConstructFluid
200,invar.molten,Molten Invar,1300,12,3000,6000,true,TConstruct:fluid.molten.invar,tconstruct.smeltery.blocks.TConstructFluid
201,electrum.molten,Molten Electrum,1300,12,3000,6000,true,TConstruct:fluid.molten.electrum,tconstruct.smeltery.blocks.TConstructFluid
202,lumium.molten,Molten Lumium,1300,12,3000,6000,true,TConstruct:fluid.molten.lumium,tconstruct.smeltery.blocks.TConstructFluid
203,signalum.molten,Molten Signalum,1300,12,3000,6000,true,TConstruct:fluid.molten.signalum,tconstruct.smeltery.blocks.TConstructFluid
204,mithril.molten,Molten Mithril,1300,12,3000,6000,true,TConstruct:fluid.molten.mithril,tconstruct.smeltery.blocks.TConstructFluid
205,enderium.molten,Molten Enderium,1300,12,3000,6000,true,TConstruct:fluid.molten.enderium,tconstruct.smeltery.blocks.TConstructFluid
206,blood,Blood,1300,0,3000,6000,true,TConstruct:liquid.blood,tconstruct.smeltery.blocks.BloodBlock
207,glue,Glue,200,0,6000,6000,true,TConstruct:liquid.glue,tconstruct.smeltery.blocks.GlueFluid
208,pigiron.molten,Pig Iron,1300,0,3000,6000,true,TConstruct:fluid.molten.pigiron,tconstruct.smeltery.blocks.PigIronMoltenBlock
209,manganese.molten,Molten Manganese,1300,15,3000,6000,true,Metallurgy:manganese.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
210,hepatizon.molten,Molten Hepatizon,1300,15,3000,6000,true,Metallurgy:hepatizon.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
211,damascus.steel.molten,Molten Damascus Steel,1300,15,3000,6000,true,Metallurgy:damascus.steel.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
212,angmallen.molten,Molten Angmallen,1300,15,3000,6000,true,Metallurgy:angmallen.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
213,eximite.molten,Molten Eximite,1300,15,3000,6000,true,Metallurgy:eximite.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
214,meutoite.molten,Molten Meutoite,1300,15,3000,6000,true,Metallurgy:meutoite.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
215,desichalkos.molten,Molten Desichalkos,1300,15,3000,6000,true,Metallurgy:desichalkos.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
216,prometheum.molten,Molten Prometheum,1300,15,3000,6000,true,Metallurgy:prometheum.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
217,deep.iron.molten,Molten Deep Iron,1300,15,3000,6000,true,Metallurgy:deep.iron.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
218,infuscolium.molten,Molten Infuscolium,1300,15,3000,6000,true,Metallurgy:infuscolium.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
219,black.steel.molten,Molten Black Steel,1300,15,3000,6000,true,Metallurgy:black.steel.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
220,oureclase.molten,Molten Oureclase,1300,15,3000,6000,true,Metallurgy:oureclase.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
221,astral.silver.molten,Molten Astral Silver,1300,15,3000,6000,true,Metallurgy:astral.silver.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
222,carmot.molten,Molten Carmot,1300,15,3000,6000,true,Metallurgy:carmot.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
223,rubracium.molten,Molten Rubracium,1300,15,3000,6000,true,Metallurgy:rubracium.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
224,quicksilver.molten,Molten Quicksilver,1300,15,3000,6000,true,Metallurgy:quicksilver.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
225,haderoth.molten,Molten Haderoth,1300,15,3000,6000,true,Metallurgy:haderoth.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
226,orichalcum.molten,Molten Orichalcum,1300,15,3000,6000,true,Metallurgy:orichalcum.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
227,celenegil.molten,Molten Celenegil,1300,15,3000,6000,true,Metallurgy:celenegil.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
228,adamantine.molten,Molten Adamantine,1300,15,3000,6000,true,Metallurgy:adamantine.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
229,atlarus.molten,Molten Atlarus,1300,15,3000,6000,true,Metallurgy:atlarus.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
230,tartarite.molten,Molten Tartarite,1300,15,3000,6000,true,Metallurgy:tartarite.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
231,ignatius.molten,Molten Ignatius,1300,15,3000,6000,true,Metallurgy:ignatius.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
232,shadow.iron.molten,Molten Shadow Iron,1300,15,3000,6000,true,Metallurgy:shadow.iron.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
233,lemurite.molten,Molten Lemurite,1300,15,3000,6000,true,Metallurgy:lemurite.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
234,midasium.molten,Molten Midasium,1300,15,3000,6000,true,Metallurgy:midasium.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
235,vyroxeres.molten,Molten Vyroxeres,1300,15,3000,6000,true,Metallurgy:vyroxeres.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
236,ceruclase.molten,Molten Ceruclase,1300,15,3000,6000,true,Metallurgy:ceruclase.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
237,alduorite.molten,Molten Alduorite,1300,15,3000,6000,true,Metallurgy:alduorite.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
238,kalendrite.molten,Molten Kalendrite,1300,15,3000,6000,true,Metallurgy:kalendrite.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
239,vulcanite.molten,Molten Vulcanite,1300,15,3000,6000,true,Metallurgy:vulcanite.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
240,sanguinite.molten,Molten Sanguinite,1300,15,3000,6000,true,Metallurgy:sanguinite.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
241,shadow.steel.molten,Molten Shadow Steel,1300,15,3000,6000,true,Metallurgy:shadow.steel.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
242,inolashite.molten,Molten Inolashite,1300,15,3000,6000,true,Metallurgy:inolashite.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
243,amordrine.molten,Molten Amordrine,1300,15,3000,6000,true,Metallurgy:amordrine.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
244,zinc.molten,Molten Zinc,1300,15,3000,6000,true,Metallurgy:zinc.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
245,brass.molten,Molten Brass,1300,15,3000,6000,true,Metallurgy:brass.molten,com.teammetallurgy.metallurgy.metals.MoltenMetalBlock
246,refined.glowstone.molten,Molten Refined Glowstone,1300,15,3000,6000,true,ExtraTiC:moltenRefinedGlowstone,glassmaker.extratic.metals.MoltenMetalBlock
247,osmium.molten,Molten Osmium,1300,15,3000,6000,true,ExtraTiC:moltenOsmium,glassmaker.extratic.metals.MoltenMetalBlock
248,pokefennium.molten,Molten Pokefennium,1300,15,3000,6000,true,ExtraTiC:moltenPokefennium,glassmaker.extratic.metals.MoltenMetalBlock
249,fairy.molten,Molten Fairy,1300,15,3000,6000,true,ExtraTiC:moltenFairy,glassmaker.extratic.metals.MoltenMetalBlock
250,red.aurum.molten,Molten RedAurum,1300,15,3000,6000,true,ExtraTiC:moltenRedAurum,glassmaker.extratic.metals.MoltenMetalBlock
251,potato.soup,Potato Soup,1300,15,3000,6000,true,ExtraTiC:potatoSoup,glassmaker.extratic.metals.MoltenMetalBlock
252,drulloy.molten,Molten Drulloy,1300,15,3000,6000,true,ExtraTiC:moltenDrulloy,glassmaker.extratic.metals.MoltenMetalBlock
253,dark.steel.molten,Molten Dark Steel,1300,15,3000,6000,true,ExtraTiC:moltenDarkSteel,glassmaker.extratic.metals.MoltenMetalBlock
254,conductive.iron.molten,Molten Conductive Iron,1300,15,3000,6000,true,ExtraTiC:moltenConductiveIron,glassmaker.extratic.metals.MoltenMetalBlock
